[oracle] loaded llada; hidden_dim=4096
[oracle] llada/owt prompts=10 buf=20 elapsed=65s
[oracle] llada/owt prompts=20 buf=40 elapsed=124s
[oracle] llada/owt prompts=30 buf=60 elapsed=184s
[oracle] llada/owt prompts=40 buf=80 elapsed=243s
[oracle] llada/owt prompts=50 buf=100 elapsed=302s
[oracle] llada/owt prompts=60 buf=120 elapsed=361s
[oracle] llada/owt prompts=70 buf=140 elapsed=419s
[oracle] llada/owt prompts=80 buf=160 elapsed=478s
[oracle] llada/owt prompts=90 buf=180 elapsed=536s
[oracle] llada/owt prompts=100 buf=200 elapsed=595s
[oracle] llada/owt prompts=110 buf=220 elapsed=654s
[oracle] llada/owt prompts=120 buf=240 elapsed=713s
[oracle] llada/owt prompts=130 buf=260 elapsed=771s
[oracle] llada/owt prompts=140 buf=280 elapsed=829s
[oracle] llada/owt prompts=150 buf=300 elapsed=887s
[oracle] llada/owt prompts=160 buf=320 elapsed=944s
[oracle] llada/owt prompts=170 buf=340 elapsed=1002s
[oracle] llada/owt prompts=180 buf=360 elapsed=1060s
[oracle] llada/owt prompts=190 buf=380 elapsed=1119s
[oracle] llada/owt prompts=200 buf=400 elapsed=1177s
[oracle] llada/owt prompts=210 buf=420 elapsed=1234s
[oracle] llada/owt prompts=220 buf=440 elapsed=1291s
[oracle] llada/owt prompts=230 buf=460 elapsed=1348s
[oracle] llada/owt prompts=240 buf=480 elapsed=1405s
[oracle] llada/owt prompts=250 buf=500 elapsed=1461s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/owt/oracle_000000.pt (512 examples)
[oracle] llada/owt prompts=260 buf=8 elapsed=1518s
[oracle] llada/owt prompts=270 buf=28 elapsed=1575s
[oracle] llada/owt prompts=280 buf=48 elapsed=1632s
[oracle] llada/owt prompts=290 buf=68 elapsed=1688s
[oracle] llada/owt prompts=300 buf=88 elapsed=1743s
[oracle] llada/owt prompts=310 buf=108 elapsed=1799s
[oracle] llada/owt prompts=320 buf=128 elapsed=1854s
[oracle] llada/owt prompts=330 buf=148 elapsed=1910s
[oracle] llada/owt prompts=340 buf=168 elapsed=1967s
[oracle] llada/owt prompts=350 buf=188 elapsed=2022s
[oracle] llada/owt prompts=360 buf=208 elapsed=2078s
[oracle] llada/owt prompts=370 buf=228 elapsed=2133s
[oracle] llada/owt prompts=380 buf=248 elapsed=2189s
[oracle] llada/owt prompts=390 buf=268 elapsed=2245s
[oracle] llada/owt prompts=400 buf=288 elapsed=2300s
[oracle] llada/owt prompts=410 buf=308 elapsed=2356s
[oracle] llada/owt prompts=420 buf=328 elapsed=2412s
[oracle] llada/owt prompts=430 buf=348 elapsed=2468s
[oracle] llada/owt prompts=440 buf=368 elapsed=2524s
[oracle] llada/owt prompts=450 buf=388 elapsed=2580s
[oracle] llada/owt prompts=460 buf=408 elapsed=2635s
[oracle] llada/owt prompts=470 buf=428 elapsed=2691s
[oracle] llada/owt prompts=480 buf=448 elapsed=2746s
[oracle] llada/owt prompts=490 buf=468 elapsed=2802s
[oracle] llada/owt prompts=500 buf=488 elapsed=2858s
[oracle] llada/owt prompts=510 buf=508 elapsed=2914s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/owt/oracle_000001.pt (512 examples)
[oracle] llada/owt prompts=520 buf=16 elapsed=2971s
[oracle] llada/owt prompts=530 buf=36 elapsed=3026s
[oracle] llada/owt prompts=540 buf=56 elapsed=3083s
[oracle] llada/owt prompts=550 buf=76 elapsed=3140s
[oracle] llada/owt prompts=560 buf=96 elapsed=3195s
[oracle] llada/owt prompts=570 buf=116 elapsed=3252s
[oracle] llada/owt prompts=580 buf=136 elapsed=3308s
[oracle] llada/owt prompts=590 buf=156 elapsed=3364s
[oracle] llada/owt prompts=600 buf=176 elapsed=3421s
[oracle] llada/owt prompts=610 buf=196 elapsed=3478s
[oracle] llada/owt prompts=620 buf=216 elapsed=3534s
[oracle] llada/owt prompts=630 buf=236 elapsed=3591s
[oracle] llada/owt prompts=640 buf=256 elapsed=3647s
[oracle] llada/owt prompts=650 buf=276 elapsed=3703s
[oracle] llada/owt prompts=660 buf=296 elapsed=3759s
[oracle] llada/owt prompts=670 buf=315 elapsed=3813s
[oracle] llada/owt prompts=680 buf=335 elapsed=3869s
[oracle] llada/owt prompts=690 buf=355 elapsed=3923s
[oracle] llada/owt prompts=700 buf=375 elapsed=3980s
[oracle] llada/owt prompts=710 buf=395 elapsed=4035s
[oracle] llada/owt prompts=720 buf=415 elapsed=4091s
[oracle] llada/owt prompts=730 buf=435 elapsed=4145s
[oracle] llada/owt prompts=740 buf=455 elapsed=4200s
[oracle] llada/owt prompts=750 buf=475 elapsed=4255s
[oracle] llada/owt prompts=760 buf=495 elapsed=4311s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/owt/oracle_000002.pt (513 examples)
[oracle] llada/owt prompts=770 buf=2 elapsed=4367s
[oracle] llada/owt prompts=780 buf=22 elapsed=4423s
[oracle] llada/owt prompts=790 buf=42 elapsed=4480s
[oracle] llada/owt prompts=800 buf=62 elapsed=4536s
[oracle] llada/owt prompts=810 buf=82 elapsed=4593s
[oracle] llada/owt prompts=820 buf=102 elapsed=4649s
[oracle] llada/owt prompts=830 buf=122 elapsed=4705s
[oracle] llada/owt prompts=840 buf=142 elapsed=4761s
