[oracle] loaded llada; hidden_dim=4096
[oracle] llada/owt prompts=10 buf=20 elapsed=64s
[oracle] llada/owt prompts=20 buf=40 elapsed=123s
[oracle] llada/owt prompts=30 buf=60 elapsed=184s
[oracle] llada/owt prompts=40 buf=80 elapsed=244s
[oracle] llada/owt prompts=50 buf=100 elapsed=303s
[oracle] llada/owt prompts=60 buf=120 elapsed=362s
[oracle] llada/owt prompts=70 buf=140 elapsed=420s
[oracle] llada/owt prompts=80 buf=160 elapsed=479s
[oracle] llada/owt prompts=90 buf=180 elapsed=537s
[oracle] llada/owt prompts=100 buf=200 elapsed=596s
[oracle] llada/owt prompts=110 buf=220 elapsed=655s
[oracle] llada/owt prompts=120 buf=240 elapsed=714s
[oracle] llada/owt prompts=130 buf=260 elapsed=773s
[oracle] llada/owt prompts=140 buf=280 elapsed=831s
[oracle] llada/owt prompts=150 buf=300 elapsed=888s
[oracle] llada/owt prompts=160 buf=320 elapsed=945s
[oracle] llada/owt prompts=170 buf=340 elapsed=1004s
[oracle] llada/owt prompts=180 buf=360 elapsed=1063s
[oracle] llada/owt prompts=190 buf=380 elapsed=1122s
[oracle] llada/owt prompts=200 buf=400 elapsed=1180s
[oracle] llada/owt prompts=210 buf=420 elapsed=1238s
[oracle] llada/owt prompts=220 buf=440 elapsed=1296s
[oracle] llada/owt prompts=230 buf=460 elapsed=1352s
[oracle] llada/owt prompts=240 buf=480 elapsed=1409s
[oracle] llada/owt prompts=250 buf=500 elapsed=1466s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/owt/oracle_000000.pt (512 examples)
[oracle] llada/owt prompts=260 buf=8 elapsed=1523s
[oracle] llada/owt prompts=270 buf=28 elapsed=1580s
[oracle] llada/owt prompts=280 buf=48 elapsed=1637s
[oracle] llada/owt prompts=290 buf=68 elapsed=1694s
[oracle] llada/owt prompts=300 buf=88 elapsed=1749s
[oracle] llada/owt prompts=310 buf=108 elapsed=1805s
[oracle] llada/owt prompts=320 buf=128 elapsed=1860s
[oracle] llada/owt prompts=330 buf=148 elapsed=1917s
[oracle] llada/owt prompts=340 buf=168 elapsed=1973s
[oracle] llada/owt prompts=350 buf=188 elapsed=2028s
[oracle] llada/owt prompts=360 buf=208 elapsed=2084s
[oracle] llada/owt prompts=370 buf=228 elapsed=2139s
[oracle] llada/owt prompts=380 buf=248 elapsed=2195s
[oracle] llada/owt prompts=390 buf=268 elapsed=2252s
[oracle] llada/owt prompts=400 buf=288 elapsed=2306s
[oracle] llada/owt prompts=410 buf=308 elapsed=2362s
[oracle] llada/owt prompts=420 buf=328 elapsed=2419s
[oracle] llada/owt prompts=430 buf=348 elapsed=2475s
[oracle] llada/owt prompts=440 buf=368 elapsed=2531s
[oracle] llada/owt prompts=450 buf=388 elapsed=2587s
[oracle] llada/owt prompts=460 buf=408 elapsed=2642s
[oracle] llada/owt prompts=470 buf=428 elapsed=2698s
[oracle] llada/owt prompts=480 buf=448 elapsed=2755s
[oracle] llada/owt prompts=490 buf=468 elapsed=2811s
[oracle] llada/owt prompts=500 buf=488 elapsed=2867s
[oracle] llada/owt prompts=510 buf=508 elapsed=2923s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/owt/oracle_000001.pt (512 examples)
[oracle] llada/owt prompts=520 buf=16 elapsed=2980s
[oracle] llada/owt prompts=530 buf=36 elapsed=3036s
[oracle] llada/owt prompts=540 buf=56 elapsed=3093s
[oracle] llada/owt prompts=550 buf=76 elapsed=3149s
[oracle] llada/owt prompts=560 buf=96 elapsed=3204s
[oracle] llada/owt prompts=570 buf=116 elapsed=3260s
[oracle] llada/owt prompts=580 buf=136 elapsed=3316s
[oracle] llada/owt prompts=590 buf=156 elapsed=3372s
[oracle] llada/owt prompts=600 buf=176 elapsed=3429s
[oracle] llada/owt prompts=610 buf=196 elapsed=3485s
[oracle] llada/owt prompts=620 buf=216 elapsed=3541s
[oracle] llada/owt prompts=630 buf=236 elapsed=3597s
[oracle] llada/owt prompts=640 buf=256 elapsed=3654s
[oracle] llada/owt prompts=650 buf=276 elapsed=3710s
[oracle] llada/owt prompts=660 buf=296 elapsed=3766s
[oracle] llada/owt prompts=670 buf=315 elapsed=3820s
[oracle] llada/owt prompts=680 buf=335 elapsed=3876s
[oracle] llada/owt prompts=690 buf=355 elapsed=3931s
[oracle] llada/owt prompts=700 buf=375 elapsed=3988s
[oracle] llada/owt prompts=710 buf=395 elapsed=4043s
[oracle] llada/owt prompts=720 buf=415 elapsed=4099s
[oracle] llada/owt prompts=730 buf=435 elapsed=4153s
[oracle] llada/owt prompts=740 buf=455 elapsed=4208s
[oracle] llada/owt prompts=750 buf=475 elapsed=4263s
[oracle] llada/owt prompts=760 buf=495 elapsed=4319s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/owt/oracle_000002.pt (513 examples)
[oracle] llada/owt prompts=770 buf=2 elapsed=4376s
[oracle] llada/owt prompts=780 buf=22 elapsed=4432s
[oracle] llada/owt prompts=790 buf=42 elapsed=4489s
[oracle] llada/owt prompts=800 buf=62 elapsed=4545s
[oracle] llada/owt prompts=810 buf=82 elapsed=4601s
[oracle] llada/owt prompts=820 buf=102 elapsed=4658s
[oracle] llada/owt prompts=830 buf=122 elapsed=4714s
[oracle] llada/owt prompts=840 buf=142 elapsed=4770s
[oracle] llada/owt prompts=850 buf=162 elapsed=4827s
[oracle] llada/owt prompts=860 buf=182 elapsed=4883s
[oracle] llada/owt prompts=870 buf=202 elapsed=4940s
[oracle] llada/owt prompts=880 buf=222 elapsed=4996s
[oracle] llada/owt prompts=890 buf=242 elapsed=5052s
[oracle] llada/owt prompts=900 buf=262 elapsed=5107s
[oracle] llada/owt prompts=910 buf=282 elapsed=5163s
[oracle] llada/owt prompts=920 buf=302 elapsed=5220s
[oracle] llada/owt prompts=930 buf=322 elapsed=5276s
[oracle] llada/owt prompts=940 buf=342 elapsed=5332s
[oracle] llada/owt prompts=950 buf=362 elapsed=5388s
[oracle] llada/owt prompts=960 buf=382 elapsed=5445s
[oracle] llada/owt prompts=970 buf=402 elapsed=5501s
[oracle] llada/owt prompts=980 buf=422 elapsed=5557s
[oracle] llada/owt prompts=990 buf=442 elapsed=5614s
[oracle] llada/owt prompts=1000 buf=462 elapsed=5669s
[oracle] llada/owt prompts=1010 buf=482 elapsed=5725s
[oracle] llada/owt prompts=1020 buf=502 elapsed=5781s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/owt/oracle_000003.pt (512 examples)
[oracle] llada/owt prompts=1030 buf=10 elapsed=5838s
[oracle] llada/owt prompts=1040 buf=30 elapsed=5893s
[oracle] llada/owt prompts=1050 buf=50 elapsed=5949s
[oracle] llada/owt prompts=1060 buf=70 elapsed=6006s
[oracle] llada/owt prompts=1070 buf=90 elapsed=6061s
[oracle] llada/owt prompts=1080 buf=110 elapsed=6116s
[oracle] llada/owt prompts=1090 buf=130 elapsed=6172s
[oracle] llada/owt prompts=1100 buf=150 elapsed=6227s
[oracle] llada/owt prompts=1110 buf=170 elapsed=6282s
[oracle] llada/owt prompts=1120 buf=190 elapsed=6338s
[oracle] llada/owt prompts=1130 buf=210 elapsed=6393s
[oracle] llada/owt prompts=1140 buf=230 elapsed=6449s
[oracle] llada/owt prompts=1150 buf=250 elapsed=6505s
[oracle] llada/owt prompts=1160 buf=270 elapsed=6561s
[oracle] llada/owt prompts=1170 buf=290 elapsed=6617s
[oracle] llada/owt prompts=1180 buf=310 elapsed=6674s
[oracle] llada/owt prompts=1190 buf=330 elapsed=6728s
[oracle] llada/owt prompts=1200 buf=350 elapsed=6783s
[oracle] llada/owt prompts=1210 buf=370 elapsed=6839s
[oracle] llada/owt prompts=1220 buf=390 elapsed=6895s
[oracle] llada/owt prompts=1230 buf=410 elapsed=6951s
[oracle] llada/owt prompts=1240 buf=430 elapsed=7007s
[oracle] llada/owt prompts=1250 buf=450 elapsed=7064s
[oracle] llada/owt prompts=1260 buf=470 elapsed=7120s
[oracle] llada/owt prompts=1270 buf=490 elapsed=7176s
[oracle] llada/owt prompts=1280 buf=510 elapsed=7232s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/owt/oracle_000004.pt (512 examples)
[oracle] llada/owt prompts=1290 buf=18 elapsed=7289s
[oracle] llada/owt prompts=1300 buf=38 elapsed=7346s
[oracle] llada/owt prompts=1310 buf=58 elapsed=7402s
[oracle] llada/owt prompts=1320 buf=78 elapsed=7459s
[oracle] llada/owt prompts=1330 buf=98 elapsed=7515s
[oracle] llada/owt prompts=1340 buf=118 elapsed=7572s
[oracle] llada/owt prompts=1350 buf=138 elapsed=7628s
[oracle] llada/owt prompts=1360 buf=158 elapsed=7683s
[oracle] llada/owt prompts=1370 buf=178 elapsed=7739s
[oracle] llada/owt prompts=1380 buf=198 elapsed=7795s
[oracle] llada/owt prompts=1390 buf=218 elapsed=7851s
[oracle] llada/owt prompts=1400 buf=238 elapsed=7907s
[oracle] llada/owt prompts=1410 buf=258 elapsed=7963s
[oracle] llada/owt prompts=1420 buf=278 elapsed=8020s
[oracle] llada/owt prompts=1430 buf=298 elapsed=8076s
[oracle] llada/owt prompts=1440 buf=318 elapsed=8132s
[oracle] llada/owt prompts=1450 buf=338 elapsed=8189s
[oracle] llada/owt prompts=1460 buf=358 elapsed=8245s
[oracle] llada/owt prompts=1470 buf=378 elapsed=8300s
[oracle] llada/owt prompts=1480 buf=398 elapsed=8356s
[oracle] llada/owt prompts=1490 buf=418 elapsed=8412s
[oracle] llada/owt prompts=1500 buf=438 elapsed=8469s
[oracle] wrote final shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/owt/oracle_000005.pt (438 examples)
[oracle] done. total prompts=1500
