[oracle] loaded llada; hidden_dim=4096
[oracle] llada/math prompts=10 buf=20 elapsed=63s
[oracle] llada/math prompts=20 buf=39 elapsed=120s
[oracle] llada/math prompts=30 buf=58 elapsed=177s
[oracle] llada/math prompts=40 buf=78 elapsed=236s
[oracle] llada/math prompts=50 buf=98 elapsed=294s
[oracle] llada/math prompts=60 buf=117 elapsed=353s
[oracle] llada/math prompts=70 buf=137 elapsed=412s
[oracle] llada/math prompts=80 buf=157 elapsed=478s
[oracle] llada/math prompts=90 buf=176 elapsed=535s
[oracle] llada/math prompts=100 buf=196 elapsed=593s
[oracle] llada/math prompts=110 buf=216 elapsed=652s
[oracle] llada/math prompts=120 buf=235 elapsed=712s
[oracle] llada/math prompts=130 buf=255 elapsed=770s
[oracle] llada/math prompts=140 buf=275 elapsed=828s
[oracle] llada/math prompts=150 buf=295 elapsed=886s
[oracle] llada/math prompts=160 buf=315 elapsed=944s
[oracle] llada/math prompts=170 buf=335 elapsed=1002s
[oracle] llada/math prompts=180 buf=355 elapsed=1058s
[oracle] llada/math prompts=190 buf=374 elapsed=1112s
[oracle] llada/math prompts=200 buf=394 elapsed=1176s
[oracle] llada/math prompts=210 buf=414 elapsed=1232s
[oracle] llada/math prompts=220 buf=434 elapsed=1288s
[oracle] llada/math prompts=230 buf=454 elapsed=1345s
[oracle] llada/math prompts=240 buf=474 elapsed=1401s
[oracle] llada/math prompts=250 buf=494 elapsed=1456s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/math/oracle_000000.pt (512 examples)
[oracle] llada/math prompts=260 buf=2 elapsed=1515s
[oracle] llada/math prompts=270 buf=21 elapsed=1570s
[oracle] llada/math prompts=280 buf=40 elapsed=1624s
[oracle] llada/math prompts=290 buf=59 elapsed=1679s
[oracle] llada/math prompts=300 buf=79 elapsed=1734s
[oracle] llada/math prompts=310 buf=97 elapsed=1787s
[oracle] llada/math prompts=320 buf=117 elapsed=1843s
[oracle] llada/math prompts=330 buf=137 elapsed=1898s
[oracle] llada/math prompts=340 buf=157 elapsed=1954s
[oracle] llada/math prompts=350 buf=175 elapsed=2008s
[oracle] llada/math prompts=360 buf=194 elapsed=2072s
[oracle] llada/math prompts=370 buf=214 elapsed=2127s
[oracle] llada/math prompts=380 buf=233 elapsed=2182s
[oracle] llada/math prompts=390 buf=253 elapsed=2237s
[oracle] llada/math prompts=400 buf=273 elapsed=2292s
[oracle] llada/math prompts=410 buf=292 elapsed=2350s
[oracle] llada/math prompts=420 buf=312 elapsed=2416s
[oracle] llada/math prompts=430 buf=332 elapsed=2471s
[oracle] llada/math prompts=440 buf=351 elapsed=2534s
